ID,BIOSAMPLE_ACCESSION,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,MOXI,MOXI_lower_bound,MOXI_upper_bound,MOXI_midpoint,category,Path,MOXI_quality
01-R1540,ERS2401395,01R1540,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1540/pilon/01R1540,
02-R0016,ERS2401388,02R0016,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0016/pilon/02R0016,
02-R0241,ERS2401340,02R0241,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0241/pilon/02R0241,
02-R0286,ERS2401280,02R0286,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0286/pilon/02R0286,
02-R0951,ERS2401163,02R0951,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,4-6,4.0,6.0,5.0,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0951/pilon/02R0951,
02-R1681,ERS2401087,02R1681,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1681/pilon/02R1681,
02-R1709,ERS2401308,02R1709,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1709/pilon/02R1709,
02-R1728,ERS2401360,02R1728,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,4-6,4.0,6.0,5.0,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1728/pilon/02R1728,
02-R1789,ERS2401326,02R1789,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1789/pilon/02R1789,
02-R1871,ERS2401301,02R1871,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1871/pilon/02R1871,
02-R1941,ERS2401416,02R1941,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1941/pilon/02R1941,
03-R0058,ERS2401322,03R0058,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R0058/pilon/03R0058,
03-R0821,ERS2401297,03R0821,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R0821/pilon/03R0821,
03-R1082,ERS2401135,03R1082,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,2-4,2.0,4.0,3.0,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R1082/pilon/03R1082,
03-R1373,ERS2401406,03R1373,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R1373/pilon/03R1373,
14-13759,,1479151773189T1375914lib3391nextseqn0004151bp,,IS-1007_reseqTB,,IS_1007,,BACTEC MGIT 960,0.125,0.25,0.25,0.24,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/1479151773189T1375914lib3391nextseqn0004151bp/pilon/1479151773189T1375914lib3391nextseqn0004151bp,
1854,ERS2401337,1854,Netherlands,farhat_internal,RIVM,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/1854/pilon/1854,
99-R1083,ERS2401292,99R1083,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/99R1083/pilon/99R1083,
site.05.subj.PTAN-0001.lab.TAN-001.iso.1,ERS1987021,ERR2184202,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184202/pilon/ERR2184202,HIGH
site.05.subj.PTAN-0004.lab.TAN-007.iso.1,ERS1987024,ERR2184205,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184205/pilon/ERR2184205,HIGH
site.05.subj.PTAN-0005.lab.TAN-010.iso.1,ERS1987025,ERR2184206,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184206/pilon/ERR2184206,HIGH
site.05.subj.PTAN-0006.lab.TAN-011.iso.1,ERS1987026,ERR2184207,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184207/pilon/ERR2184207,HIGH
site.05.subj.PTAN-0007.lab.TAN-013.iso.1,ERS1987027,ERR2184208,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184208/pilon/ERR2184208,HIGH
site.05.subj.PTAN-0008.lab.TAN-016.iso.1,ERS1987028,ERR2184209,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184209/pilon/ERR2184209,HIGH
site.05.subj.PTAN-0009.lab.TAN-015.iso.1,ERS1987029,ERR2184210,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184210/pilon/ERR2184210,HIGH
site.05.subj.PTAN-0010.lab.TAN-021.iso.1,ERS1987030,ERR2184211,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184211/pilon/ERR2184211,HIGH
site.05.subj.PTAN-0011.lab.TAN-024.iso.1,ERS1987031,ERR2184212,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184212/pilon/ERR2184212,HIGH
site.05.subj.PTAN-0012.lab.TAN-032.iso.1,ERS1987032,ERR2184213,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184213/pilon/ERR2184213,HIGH
site.05.subj.PTAN-0013.lab.TAN-033.iso.1,ERS1987033,ERR2184214,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184214/pilon/ERR2184214,HIGH
site.05.subj.PTAN-0015.lab.TAN-038.iso.1,ERS1987035,ERR2184216,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184216/pilon/ERR2184216,HIGH
site.05.subj.PTAN-0016.lab.TAN-045.iso.1,ERS1987036,ERR2184217,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184217/pilon/ERR2184217,HIGH
site.05.subj.PTAN-0017.lab.TAN-047.iso.1,ERS1987037,ERR2184218,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184218/pilon/ERR2184218,HIGH
site.05.subj.PTAN-0018.lab.TAN-048.iso.1,ERS1987038,ERR2184219,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184219/pilon/ERR2184219,HIGH
site.05.subj.PTAN-0020.lab.TAN-049.iso.1,ERS1987040,ERR2184221,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184221/pilon/ERR2184221,HIGH
site.05.subj.PTAN-0021.lab.TAN-058.iso.1,ERS1987041,ERR2184222,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184222/pilon/ERR2184222,HIGH
site.05.subj.PTAN-0022.lab.TAN-057.iso.1,ERS1987042,ERR2184223,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184223/pilon/ERR2184223,HIGH
site.05.subj.PTAN-0023.lab.TAN-068.iso.1,ERS1987043,ERR2184224,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184224/pilon/ERR2184224,HIGH
site.05.subj.PTAN-0025.lab.TAN-065.iso.2,ERS1987045,ERR2184226,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184226/pilon/ERR2184226,HIGH
site.05.subj.PTAN-0026.lab.TAN-070.iso.1,ERS1987046,ERR2184227,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184227/pilon/ERR2184227,HIGH
site.05.subj.PTAN-0028.lab.TAN-087.iso.1,ERS1987048,ERR2184229,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184229/pilon/ERR2184229,HIGH
site.05.subj.PTAN-0030.lab.TAN-096.iso.1,ERS1987050,ERR2184231,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184231/pilon/ERR2184231,HIGH
site.05.subj.PTAN-0031.lab.TAN-097.iso.1,ERS1987051,ERR2184232,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.06,0.06,0.06,0.06,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184232/pilon/ERR2184232,HIGH
site.05.subj.PTAN-0032.lab.TAN-108.iso.1,ERS1987052,ERR2184233,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184233/pilon/ERR2184233,HIGH
site.05.subj.PTAN-0033.lab.TAN-109.iso.1,ERS1987053,ERR2184234,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184234/pilon/ERR2184234,HIGH
site.05.subj.PTAN-0034.lab.TAN-110.iso.1,ERS1987054,ERR2184235,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.06,0.06,0.06,0.06,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184235/pilon/ERR2184235,HIGH
site.05.subj.PTAN-0036.lab.TAN-122.iso.1,ERS1987056,ERR2184237,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184237/pilon/ERR2184237,HIGH
site.05.subj.PTAN-0037.lab.TAN-125.iso.1,ERS1987057,ERR2184238,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184238/pilon/ERR2184238,HIGH
site.05.subj.PTAN-0039.lab.TAN-127.iso.1,ERS1987059,ERR2184240,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184240/pilon/ERR2184240,HIGH
site.05.subj.PTAN-0040.lab.TAN-131.iso.1,ERS1987060,ERR2184241,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184241/pilon/ERR2184241,HIGH
site.05.subj.PTAN-0041.lab.TAN-130.iso.1,ERS1987061,ERR2184242,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.06,0.06,0.06,0.06,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184242/pilon/ERR2184242,HIGH
site.05.subj.PTAN-0042.lab.TAN-128.iso.1,ERS1987062,ERR2184243,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184243/pilon/ERR2184243,HIGH
site.05.subj.PTAN-0044.lab.TAN-138.iso.1,ERS1987064,ERR2184245,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.5,0.5,0.5,0.5,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184245/pilon/ERR2184245,HIGH
site.05.subj.PTAN-0045.lab.TAN-139.iso.1,ERS1987065,ERR2184246,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184246/pilon/ERR2184246,HIGH
site.05.subj.PTAN-0046.lab.TAN-137.iso.1,ERS1987066,ERR2184247,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184247/pilon/ERR2184247,HIGH
site.05.subj.PTAN-0047.lab.TAN-136.iso.1,ERS1987067,ERR2184248,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184248/pilon/ERR2184248,HIGH
site.05.subj.PTAN-0048.lab.TAN-135.iso.1,ERS1987068,ERR2184249,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184249/pilon/ERR2184249,MEDIUM
site.05.subj.PTAN-0049.lab.TAN-145.iso.1,ERS1987069,ERR2184250,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184250/pilon/ERR2184250,HIGH
site.05.subj.PTAN-0050.lab.TAN-147.iso.1,ERS1987070,ERR2184251,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184251/pilon/ERR2184251,HIGH
site.05.subj.PTAN-0051.lab.TAN-151.iso.1,ERS1987071,ERR2184252,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184252/pilon/ERR2184252,HIGH
site.05.subj.PTAN-0052.lab.TAN-154.iso.1,ERS1987072,ERR2184253,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184253/pilon/ERR2184253,HIGH
site.05.subj.PTAN-0053.lab.TAN-164.iso.1,ERS1987073,ERR2184254,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184254/pilon/ERR2184254,HIGH
site.05.subj.PTAN-0054.lab.TAN-170.iso.1,ERS1987074,ERR2184255,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184255/pilon/ERR2184255,HIGH
site.05.subj.PTAN-0055.lab.TAN-169.iso.1,ERS1987075,ERR2184256,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184256/pilon/ERR2184256,HIGH
site.05.subj.PTAN-0056.lab.TAN-175.iso.1,ERS1987076,ERR2184257,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184257/pilon/ERR2184257,MEDIUM
site.05.subj.PTAN-0057.lab.TAN-177.iso.1,ERS1987077,ERR2184258,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184258/pilon/ERR2184258,HIGH
site.05.subj.PTAN-0058.lab.TAN-180.iso.1,ERS1987078,ERR2184259,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,>2.0,2.0,,4.0,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184259/pilon/ERR2184259,HIGH
site.05.subj.PTAN-0061.lab.TAN-193.iso.1,ERS1987081,ERR2184262,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184262/pilon/ERR2184262,HIGH
site.05.subj.PTAN-0063.lab.TAN-204.iso.1,ERS1987083,ERR2184264,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.5,0.5,0.5,0.5,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184264/pilon/ERR2184264,HIGH
site.05.subj.PTAN-0064.lab.TAN-211.iso.1,ERS1987084,ERR2184265,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184265/pilon/ERR2184265,HIGH
site.05.subj.PTAN-0065.lab.TAN-212.iso.1,ERS1987085,ERR2184266,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184266/pilon/ERR2184266,HIGH
site.05.subj.PTAN-0066.lab.TAN-214.iso.1,ERS1987086,ERR2184267,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184267/pilon/ERR2184267,HIGH
site.05.subj.PTAN-0068.lab.TAN-222.iso.1,ERS1987088,ERR2184269,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184269/pilon/ERR2184269,HIGH
site.05.subj.PTAN-0069.lab.TAN-223.iso.1,ERS1987089,ERR2184270,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.25,0.25,0.25,0.25,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184270/pilon/ERR2184270,HIGH
site.05.subj.PTAN-0070.lab.TAN-225.iso.1,ERS1987090,ERR2184271,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184271/pilon/ERR2184271,HIGH
site.05.subj.PTAN-0074.lab.TAN-230.iso.1,ERS1987094,ERR2184275,,CRyPTIC,Not specified in paper,The CRyPTIC Consortium,https://doi.org/10.1101/2021.09.14.460274(pre-print),m7h10,0.12,0.12,0.12,0.12,original_test_set,/n/data1/hms/dbmi/farhat/rollingDB/cryptic_output/ERR2184275/pilon/ERR2184275,HIGH
